-2.68381523e-02 -2.86731250e-02 -2.71782677e-02 -2.54303029e-02 -2.73642324e-02 -2.82011499e-02 -2.83282777e-02 -2.72959625e-02 -2.65663359e-02 -2.64119506e-02 -2.56532364e-02 -2.49180576e-02 -2.40772403e-02 -2.33604060e-02 -2.26543586e-02 -2.18557204e-02 -2.10815475e-02 -2.03019908e-02 -1.95425904e-02 -1.87894786e-02 -1.80441472e-02 -1.73084061e-02 -1.65873788e-02 -1.58834516e-02 -1.51913949e-02 -1.45145368e-02 -1.38531601e-02 -1.32073510e-02 -1.25778651e-02 -1.19647825e-02 -1.13671312e-02 -1.07846121e-02 -1.02171327e-02 -9.66490603e-03 -9.12814839e-03 -8.60678516e-03 -8.10036074e-03 -7.60848770e-03 -7.13124483e-03 -6.66810501e-03 -6.21861350e-03 -5.78225373e-03 -5.35908996e-03 -4.94950140e-03 -4.55342054e-03 -4.17057301e-03 -3.80010998e-03 -3.44195240e-03 -3.09580240e-03 -2.76166658e-03 -2.43916297e-03 -2.12804398e-03 -1.82827148e-03 -1.53973062e-03 -1.26230292e-03 -9.95467472e-04 -7.38920613e-04 -4.92402445e-04 -2.55930818e-04 -2.94290913e-05 1.87303310e-04 3.94517332e-04 5.92477265e-04 7.81292786e-04 9.61236735e-04 1.13256134e-03 1.29556072e-03 1.45026350e-03 1.59656855e-03 1.73454676e-03 1.86433246e-03 1.98627424e-03 2.10040854e-03 2.20684837e-03 2.30558095e-03 2.39673030e-03 2.48032715e-03 2.55623566e-03 2.62436730e-03 2.68464749e-03 2.73731793e-03 2.78243847e-03 2.81998040e-03 2.84945976e-03 2.87049453e-03 2.88271582e-03 2.88512132e-03 2.87661862e-03 2.85608121e-03 2.82514359e-03 2.78603063e-03 2.73972931e-03 2.68576174e-03 2.62219407e-03 2.55009258e-03 2.46538107e-03 2.36117792e-03 2.23135243e-03 2.08926007e-03 1.98043072e-03 1.93097609e-03
-1.37928654e-02 -1.41524915e-02 -1.34379174e-02 -1.30472191e-02 -1.45308686e-02 -1.56474036e-02 -1.62209667e-02 -1.57457260e-02 -1.53023006e-02 -1.51627672e-02 -1.48420308e-02 -1.44700952e-02 -1.38780440e-02 -1.33883715e-02 -1.28883169e-02 -1.23549004e-02 -1.17961440e-02 -1.12182254e-02 -1.06636010e-02 -1.00970651e-02 -9.52908273e-03 -8.96415535e-03 -8.40559528e-03 -7.85675922e-03 -7.31277466e-03 -6.77747515e-03 -6.25166007e-03 -5.73542953e-03 -5.22968897e-03 -4.73470862e-03 -4.25061970e-03 -3.77774137e-03 -3.31648427e-03 -2.86682425e-03 -2.42898844e-03 -2.00320782e-03 -1.58944343e-03 -1.18774718e-03 -7.98240309e-04 -4.20882368e-04 -5.56539124e-05 2.97445443e-04 6.38403768e-04 9.67177491e-04 1.28375256e-03 1.58817124e-03 1.88055122e-03 2.16090846e-03 2.42931877e-03 2.68585809e-03 2.93062946e-03 3.16372450e-03 3.38517816e-03 3.59506836e-03 3.79348426e-03 3.98060391e-03 4.15656476e-03 4.32149581e-03 4.47548442e-03 4.61863912e-03 4.75110105e-03 4.87301672e-03 4.98454115e-03 5.08580342e-03 5.17695242e-03 5.25813196e-03 5.32949728e-03 5.39116889e-03 5.44325236e-03 5.48586730e-03 5.51912742e-03 5.54315612e-03 5.55804303e-03 5.56388321e-03 5.56076529e-03 5.54876876e-03 5.52793322e-03 5.49820916e-03 5.45956876e-03 5.41200718e-03 5.35572164e-03 5.29079900e-03 5.21724865e-03 5.13466619e-03 5.04273483e-03 4.94113036e-03 4.82898707e-03 4.70534628e-03 4.56920380e-03 4.42188880e-03 4.26521402e-03 4.09996008e-03 3.92671172e-03 3.74541014e-03 3.55803080e-03 3.35855989e-03 3.13463313e-03 2.87787840e-03 2.60705850e-03 2.38830733e-03 2.25821201e-03
-4.37595228e-03 -5.87733430e-03 -6.10427747e-03 -6.12976125e-03 -7.48912445e-03 -8.22439031e-03 -8.55968644e-03 -8.47869556e-03 -8.41380125e-03 -8.49669343e-03 -8.29959072e-03 -8.07659158e-03 -7.79423859e-03 -7.51019162e-03 -7.20722002e-03 -6.85860607e-03 -6.50042799e-03 -6.12781079e-03 -5.75088430e-03 -5.36572872e-03 -4.97494808e-03 -4.58196058e-03 -4.18948902e-03 -3.79952381e-03 -3.41040709e-03 -3.02474895e-03 -2.64357614e-03 -2.26700959e-03 -1.89605839e-03 -1.53128251e-03 -1.17290235e-03 -8.21411668e-04 -4.77304230e-04 -1.40730034e-04 1.87977149e-04 5.08484801e-04 8.20686274e-04 1.12441046e-03 1.41944002e-03 1.70565414e-03 1.98291143e-03 2.25107120e-03 2.51005258e-03 2.75979480e-03 3.00019950e-03 3.23120527e-03 3.45275161e-03 3.66478273e-03 3.86727891e-03 4.06026721e-03 4.24375081e-03 4.41773692e-03 4.58219108e-03 4.73712234e-03 4.88255721e-03 5.01858956e-03 5.14528912e-03 5.26271922e-03 5.37091085e-03 5.46991521e-03 5.55981410e-03 5.64070586e-03 5.71269821e-03 5.77587609e-03 5.83032176e-03 5.87610921e-03 5.91333682e-03 5.94210099e-03 5.96250797e-03 5.97464553e-03 5.97858973e-03 5.97439402e-03 5.96212543e-03 5.94184604e-03 5.91363133e-03 5.87752639e-03 5.83354641e-03 5.78163215e-03 5.72174314e-03 5.65386741e-03 5.57818667e-03 5.49478353e-03 5.40365802e-03 5.30434697e-03 5.19648525e-03 5.07973295e-03 4.95352038e-03 4.81719130e-03 4.66992069e-03 4.51223136e-03 4.34485632e-03 4.16805500e-03 3.98397500e-03 3.79556753e-03 3.60594559e-03 3.40692079e-03 3.17925041e-03 2.91232004e-03 2.62591523e-03 2.39711030e-03 2.26515700e-03
2.06236924e-03 -1.31465511e-03 -2.48709739e-03 -2.64191969e-03 -3.99388706e-03 -4.21441737e-03 -4.15524171e-03 -4.35055914e-03 -4.61760426e-03 -4.92676810e-03 -4.73514739e-03 -4.56845042e-03 -4.55432809e-03 -4.42047668e-03 -4.26201172e-03 -4.03078226e-03 -3.82037843e-03 -3.60448370e-03 -3.35082081e-03 -3.09892965e-03 -2.83981912e-03 -2.57396593e-03 -2.30448323e-03 -2.03138429e-03 -1.75682800e-03 -1.48180367e-03 -1.20743149e-03 -9.33930377e-04 -6.62415876e-04 -3.93778280e-04 -1.27951903e-04 1.34543920e-04 3.93258555e-04 6.47746224e-04 8.97531974e-04 1.14225551e-03 1.38176255e-03 1.61587410e-03 1.84425814e-03 2.06677398e-03 2.28324798e-03 2.49354744e-03 2.69747425e-03 2.89479950e-03 3.08534302e-03 3.26899705e-03 3.44576111e-03 3.61550624e-03 3.77817362e-03 3.93368865e-03 4.08203300e-03 4.22316810e-03 4.35698379e-03 4.48342262e-03 4.60244672e-03 4.71415998e-03 4.81860483e-03 4.91581045e-03 5.00571350e-03 5.08829172e-03 5.16357815e-03 5.23164799e-03 5.29258808e-03 5.34642835e-03 5.39322300e-03 5.43301230e-03 5.46588108e-03 5.49186139e-03 5.51097651e-03 5.52325876e-03 5.52874875e-03 5.52750854e-03 5.51955714e-03 5.50492441e-03 5.48362854e-03 5.45569044e-03 5.42109166e-03 5.37972693e-03 5.33151491e-03 5.27640405e-03 5.21456706e-03 5.14606323e-03 5.07086203e-03 4.98841700e-03 4.89829260e-03 4.80010239e-03 4.69337272e-03 4.57754491e-03 4.45181879e-03 4.31631854e-03 4.17125234e-03 4.01661086e-03 3.85535498e-03 3.69198275e-03 3.53025376e-03 3.36073332e-03 3.16036682e-03 2.91721972e-03 2.65055635e-03 2.44089092e-03 2.32703787e-03
8.38652028e-03 5.48436446e-03 3.43752900e-03 2.21202621e-03 1.20811935e-03 8.21986826e-04 5.51923272e-04 5.70249085e-06 -4.20093854e-04 -6.78232753e-04 -7.80891594e-04 -8.61214871e-04 -1.00518304e-03 -9.96013757e-04 -9.41687318e-04 -8.69802818e-04 -7.79658658e-04 -6.74227289e-04 -5.29245631e-04 -3.76129024e-04 -2.11454329e-04 -3.41252147e-05 1.52418653e-04 3.48169537e-04 5.49709810e-04 7.56209050e-04 9.66347763e-04 1.17970077e-03 1.39502211e-03 1.61116397e-03 1.82779179e-03 2.04403653e-03 2.25916509e-03 2.47279841e-03 2.68440875e-03 2.89347663e-03 3.09961791e-03 3.30242027e-03 3.50149314e-03 3.69650757e-03 3.88713957e-03 4.07304236e-03 4.25397404e-03 4.42972656e-03 4.60004609e-03 4.76470974e-03 4.92347563e-03 5.07614207e-03 5.22254162e-03 5.36257567e-03 5.49610426e-03 5.62301801e-03 5.74321347e-03 5.85661901e-03 5.96317123e-03 6.06277075e-03 6.15535041e-03 6.24085317e-03 6.31927633e-03 6.39060766e-03 6.45483032e-03 6.51195008e-03 6.56197807e-03 6.60494773e-03 6.64086088e-03 6.66972372e-03 6.69156026e-03 6.70639267e-03 6.71425064e-03 6.71514606e-03 6.70908611e-03 6.69606244e-03 6.67606938e-03 6.64910146e-03 6.61516516e-03 6.57423951e-03 6.52627602e-03 6.47115613e-03 6.40877924e-03 6.33906823e-03 6.26211666e-03 6.17792784e-03 6.08642629e-03 5.98710608e-03 5.87954772e-03 5.76330717e-03 5.63735310e-03 5.50054689e-03 5.35170779e-03 5.19215319e-03 5.02371713e-03 4.84712952e-03 4.66343988e-03 4.47330388e-03 4.27931732e-03 4.07420964e-03 3.84240709e-03 3.57398767e-03 3.28649207e-03 3.04747014e-03 2.89188689e-03
1.28882183e-02 9.02014584e-03 6.23472009e-03 4.66526639e-03 3.67822399e-03 3.49220634e-03 3.36471428e-03 2.66944659e-03 2.12223844e-03 1.83615609e-03 1.73040341e-03 1.63163198e-03 1.39469091e-03 1.38201426e-03 1.42413633e-03 1.48005088e-03 1.55194107e-03 1.63813464e-03 1.78098871e-03 1.92838062e-03 2.08787045e-03 2.26385723e-03 2.45123623e-03 2.65099640e-03 2.85752160e-03 3.07066051e-03 3.28897468e-03 3.51170978e-03 3.73742760e-03 3.96463033e-03 4.19302005e-03 4.42154371e-03 4.64932278e-03 4.87580231e-03 5.10030586e-03 5.32221598e-03 5.54100321e-03 5.75613509e-03 5.96709499e-03 6.17346070e-03 6.37482249e-03 6.57073802e-03 6.76086629e-03 6.94489156e-03 7.12247690e-03 7.29332777e-03 7.45715598e-03 7.61369368e-03 7.76271245e-03 7.90403676e-03 8.03747462e-03 8.16286642e-03 8.28007144e-03 8.38897508e-03 8.48947537e-03 8.58144624e-03 8.66479527e-03 8.73944640e-03 8.80537465e-03 8.86255312e-03 8.91095470e-03 8.95056929e-03 8.98139592e-03 9.00345908e-03 9.01676550e-03 9.02133104e-03 9.01718356e-03 9.00434702e-03 8.98284830e-03 8.95270964e-03 8.91394944e-03 8.86657922e-03 8.81060557e-03 8.74603398e-03 8.67287242e-03 8.59111012e-03 8.50070733e-03 8.40155914e-03 8.29357157e-03 8.17667661e-03 8.05099094e-03 7.91653524e-03 7.77325499e-03 7.62067068e-03 7.45839249e-03 7.28597195e-03 7.10202431e-03 6.90504272e-03 6.69357753e-03 6.46960445e-03 6.23585426e-03 5.99342880e-03 5.74315411e-03 5.48486004e-03 5.22142704e-03 4.94460647e-03 4.63743602e-03 4.28839422e-03 3.92074866e-03 3.61916698e-03 3.42940440e-03
1.74662521e-02 1.21991924e-02 8.73949004e-03 7.07432196e-03 5.99708953e-03 6.14922367e-03 6.34546947e-03 5.56824826e-03 4.91337139e-03 4.57430484e-03 4.56972768e-03 4.53408194e-03 4.22520903e-03 4.22458600e-03 4.28350237e-03 4.37014996e-03 4.45598851e-03 4.55123891e-03 4.72516697e-03 4.89527818e-03 5.07665543e-03 5.27765240e-03 5.49094176e-03 5.71884182e-03 5.95334203e-03 6.19511270e-03 6.44263620e-03 6.69476484e-03 6.94985896e-03 7.20604728e-03 7.46317278e-03 7.72003856e-03 7.97564840e-03 8.22919541e-03 8.47982087e-03 8.72682079e-03 8.96953078e-03 9.20732048e-03 9.43952358e-03 9.66562316e-03 9.88511153e-03 1.00974607e-02 1.03022204e-02 1.04989561e-02 1.06872427e-02 1.08667153e-02 1.10370529e-02 1.11979246e-02 1.13490454e-02 1.14901573e-02 1.16210246e-02 1.17414343e-02 1.18511850e-02 1.19501028e-02 1.20380406e-02 1.21149027e-02 1.21805996e-02 1.22350578e-02 1.22781993e-02 1.23099736e-02 1.23303586e-02 1.23393468e-02 1.23369486e-02 1.23231763e-02 1.22980554e-02 1.22616183e-02 1.22139138e-02 1.21549866e-02 1.20848849e-02 1.20036635e-02 1.19113724e-02 1.18080594e-02 1.16937695e-02 1.15685413e-02 1.14324066e-02 1.12853870e-02 1.11274739e-02 1.09586008e-02 1.07787031e-02 1.05877503e-02 1.03859317e-02 1.01733292e-02 9.94994881e-03 9.71533288e-03 9.46913061e-03 9.21092423e-03 8.93917243e-03 8.65220255e-03 8.34842028e-03 8.02999440e-03 7.69991895e-03 7.35936435e-03 7.01016148e-03 6.65356457e-03 6.29372979e-03 5.91941969e-03 5.50634791e-03 5.03916043e-03 4.55086434e-03 4.16077623e-03 3.93342846e-03
2.30618735e-02 1.68687634e-02 1.25599204e-02 1.04558388e-02 9.51887392e-03 9.93908495e-03 1.02948153e-02 9.30304843e-03 8.47195990e-03 8.08232093e-03 8.01772475e-03 7.90268456e-03 7.42504728e-03 7.33379231e-03 7.30997317e-03 7.30346694e-03 7.29363639e-03 7.29089426e-03 7.38491044e-03 7.47070419e-03 7.56814410e-03 7.68986038e-03 7.82687192e-03 7.98287229e-03 8.14746559e-03 8.32234812e-03 8.50604905e-03 8.69711584e-03 8.89384713e-03 9.09409075e-03 9.29779393e-03 9.50364499e-03 9.71056653e-03 9.91758899e-03 1.01237388e-02 1.03282554e-02 1.05303618e-02 1.07293479e-02 1.09244558e-02 1.11150827e-02 1.13006391e-02 1.14805265e-02 1.16542050e-02 1.18211466e-02 1.19808480e-02 1.21328720e-02 1.22768415e-02 1.24123544e-02 1.25390642e-02 1.26566496e-02 1.27648228e-02 1.28633174e-02 1.29518716e-02 1.30302603e-02 1.30982868e-02 1.31558153e-02 1.32027143e-02 1.32388683e-02 1.32641532e-02 1.32784756e-02 1.32817757e-02 1.32740194e-02 1.32551924e-02 1.32252786e-02 1.31842756e-02 1.31321878e-02 1.30690454e-02 1.29948647e-02 1.29096648e-02 1.28134742e-02 1.27063224e-02 1.25882447e-02 1.24592641e-02 1.23194017e-02 1.21686691e-02 1.20070729e-02 1.18345886e-02 1.16511318e-02 1.14566215e-02 1.12510131e-02 1.10344908e-02 1.08071282e-02 1.05689191e-02 1.03193644e-02 1.00580778e-02 9.78460550e-03 9.49734126e-03 9.19454074e-03 8.87452882e-03 8.53948562e-03 8.19242988e-03 7.83452706e-03 7.46813014e-03 7.09529311e-03 6.72080331e-03 6.33229624e-03 5.90247256e-03 5.41459503e-03 4.90260038e-03 4.49224340e-03 4.25019447e-03
2.85729959e-02 2.17331426e-02 1.66206895e-02 1.40030231e-02 1.32320025e-02 1.38464839e-02 1.42949892e-02 1.31016539e-02 1.21321168e-02 1.17334811e-02 1.15941871e-02 1.13945583e-02 1.07759447e-02 1.06097950e-02 1.05193696e-02 1.04271504e-02 1.03361409e-02 1.02516353e-02 1.02775511e-02 1.02926378e-02 1.03196408e-02 1.03753983e-02 1.04491435e-02 1.05457125e-02 1.06527932e-02 1.07728847e-02 1.09045712e-02 1.10460865e-02 1.11956723e-02 1.13509180e-02 1.15117970e-02 1.16768506e-02 1.18448824e-02 1.20148076e-02 1.21855500e-02 1.23562795e-02 1.25260849e-02 1.26941509e-02 1.28596363e-02 1.30218278e-02 1.31800344e-02 1.33335580e-02 1.34817806e-02 1.36241110e-02 1.37599702e-02 1.38888394e-02 1.40102417e-02 1.41237063e-02 1.42288166e-02 1.43252008e-02 1.44125062e-02 1.44904096e-02 1.45585963e-02 1.46167952e-02 1.46647654e-02 1.47023119e-02 1.47292555e-02 1.47454361e-02 1.47507010e-02 1.47449254e-02 1.47280154e-02 1.46999085e-02 1.46605631e-02 1.46099439e-02 1.45480201e-02 1.44747700e-02 1.43902020e-02 1.42943182e-02 1.41871297e-02 1.40686499e-02 1.39388939e-02 1.37978765e-02 1.36456097e-02 1.34821030e-02 1.33073621e-02 1.31213824e-02 1.29241313e-02 1.27155187e-02 1.24954585e-02 1.22639030e-02 1.20210357e-02 1.17669307e-02 1.15015797e-02 1.12244588e-02 1.09351625e-02 1.06332096e-02 1.03168969e-02 9.98437424e-03 9.63386846e-03 9.26768312e-03 8.88900932e-03 8.49908342e-03 8.10068312e-03 7.69643154e-03 7.29171583e-03 6.87312943e-03 6.41071059e-03 5.88638611e-03 5.33571180e-03 4.89224392e-03 4.62599421e-03
3.37100342e-02 2.65190364e-02 2.06424746e-02 1.74190455e-02 1.68394910e-02 1.75532772e-02 1.80040610e-02 1.66219269e-02 1.55551641e-02 1.51940191e-02 1.49594873e-02 1.46670374e-02 1.39403014e-02 1.37182781e-02 1.35814595e-02 1.34136228e-02 1.32599612e-02 1.31143576e-02 1.30878621e-02 1.30502136e-02 1.30247383e-02 1.30322439e-02 1.30601438e-02 1.31141328e-02 1.31804723e-02 1.32622043e-02 1.33579582e-02 1.34656754e-02 1.35835338e-02 1.37088869e-02 1.38416564e-02 1.39802016e-02 1.41231705e-02 1.42694183e-02 1.44177827e-02 1.45673502e-02 1.47170577e-02 1.48659589e-02 1.50131386e-02 1.51577599e-02 1.52990243e-02 1.54361117e-02 1.55683355e-02 1.56950599e-02 1.58156337e-02 1.59294519e-02 1.60359111e-02 1.61344742e-02 1.62246488e-02 1.63060202e-02 1.63781621e-02 1.64406943e-02 1.64932650e-02 1.65355670e-02 1.65673227e-02 1.65882534e-02 1.65981247e-02 1.65967289e-02 1.65839087e-02 1.65595230e-02 1.65234477e-02 1.64755878e-02 1.64158699e-02 1.63442500e-02 1.62606722e-02 1.61650955e-02 1.60575058e-02 1.59378999e-02 1.58062923e-02 1.56626901e-02 1.55070988e-02 1.53395113e-02 1.51599357e-02 1.49683743e-02 1.47648347e-02 1.45493045e-02 1.43217476e-02 1.40820772e-02 1.38302087e-02 1.35660975e-02 1.32899242e-02 1.30017651e-02 1.27016146e-02 1.23889487e-02 1.20633624e-02 1.17243518e-02 1.13700001e-02 1.09982307e-02 1.06071011e-02 1.01993601e-02 9.77880202e-03 9.34694506e-03 8.90645512e-03 8.45945893e-03 8.01158627e-03 7.54909775e-03 7.04167146e-03 6.47060049e-03 5.87319091e-03 5.38837254e-03 5.08946195e-03
